#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITLYWS.1001;Dark Clouds;Dark Clouds;Dark Clouds;;Dark Clouds;;;;;;;;;x
EVTOPTAYWS.2002;It's about time!;It's about time!;It's about time!;;It's about time!;;;;;;;;;x
EVTTITLYWS.2003;Famine Strikes;Famine Strikes;Famine Strikes;;Famine Strikes;;;;;;;;;x
EVTDESCYWS.2003;Although the effects of the ashen clouds appeared at first to be less-than-catastrophic, it has become clear that there will be long-term repercussions. Successive harvest failures in the province of [Root.GetName] have led to widespread grain shortages. While it may be possible to offset the effects of the shortage, it's likely that the population of [Root.GetName] won't recover for some years yet.;Although the effects of the ashen clouds appeared at first to be less-than-catastrophic, it has become clear that there will be long-term repercussions. Successive harvest failures in the province of [Root.GetName] have led to widespread grain shortages. While it may be possible to offset the effects of the shortage, it's likely that the population of [Root.GetName] won't recover for some years yet.;Although the effects of the ashen clouds appeared at first to be less-than-catastrophic, it has become clear that there will be long-term repercussions. Successive harvest failures in the province of [Root.GetName] have led to widespread grain shortages. While it may be possible to offset the effects of the shortage, it's likely that the population of [Root.GetName] won't recover for some years yet.;;Although the effects of the ashen clouds appeared at first to be less-than-catastrophic, it has become clear that there will be long-term repercussions. Successive harvest failures in the province of [Root.GetName] have led to widespread grain shortages. While it may be possible to offset the effects of the shortage, it's likely that the population of [Root.GetName] won't recover for some years yet.;;;;;;;;;x
EVTOPTAYWS.2003;Import grain to feed the province;Import grain to feed the province;Import grain to feed the province;;Import grain to feed the province;;;;;;;;;x
EVTOPTBYWS.2003;Blast!;Blast!;Blast!;;Blast!;;;;;;;;;x
EVTOPTCYWS.2003;The peasants need only small rations!;The peasants need only small rations!;The peasants need only small rations!;;The peasants need only small rations!;;;;;;;;;x
EVTTITLYWS.2004;Population Recovered!;Population Recovered!;Population Recovered!;;Population Recovered!;;;;;;;;;x
EVTDESCYWS.2004;It's taken more than one generation, but in a triumph of human spirit and fertility the population in [Root.GetName] has finally recovered to pre-famine levels. Towns are bustling with commerce, fields are back to production, and—most importantly—tax income is back in your coffers.;It's taken more than one generation, but in a triumph of human spirit and fertility the population in [Root.GetName] has finally recovered to pre-famine levels. Towns are bustling with commerce, fields are back to production, and—most importantly—tax income is back in your coffers.;It's taken more than one generation, but in a triumph of human spirit and fertility the population in [Root.GetName] has finally recovered to pre-famine levels. Towns are bustling with commerce, fields are back to production, and—most importantly—tax income is back in your coffers.;;It's taken more than one generation, but in a triumph of human spirit and fertility the population in [Root.GetName] has finally recovered to pre-famine levels. Towns are bustling with commerce, fields are back to production, and—most importantly—tax income is back in your coffers.;;;;;;;;;x
EVTOPTAYWS.2004;Hooray! More meatshields!;Hooray! More meatshields!;Hooray! More meatshields!;;Hooray! More meatshields!;;;;;;;;;x
ash_riots;Ash Riots;Ash Riots;Ash Riots;;Ash Riots;;;;;;;;;x
famine;Population Decline;Population Decline;Population Decline;;Population Decline;;;;;;;;;x
mild_famine;Mild Population Decline;Mild Population Decline;Mild Population Decline;;Mild Population Decline;;;;;;;;;x
severe_famine;Depopulated;Depopulated;Depopulated;;Depopulated;;;;;;;;;x
grain_shortage;Grain Shortage;Grain Shortage;Grain Shortage;;Grain Shortage;;;;;;;;;x
